script,dataset,property,defense,defend_scope,defend_side,adaptive_noise,curriculum,warmup_epochs,norm_threshold,sigma_low,sigma_high,d_para,out_para,seed,epoch,victim_norm_raw,victim_norm_obs,victim_norm_raw_med,sigma_mean,sigma_frac_high
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,8,3.023076,3.023076,3.021632,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,9,3.100558,3.100558,3.098518,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,10,3.158572,3.158572,3.154431,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,11,3.203672,3.203672,3.198693,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,12,3.236204,3.236204,3.231271,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,13,3.260653,3.260653,3.254622,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,14,3.276855,3.276855,3.272476,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,15,3.288289,3.288289,3.284278,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,16,3.298323,3.298323,3.295296,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,17,3.306051,3.306051,3.302550,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,18,3.311709,3.311709,3.307978,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,19,3.316104,3.316104,3.312367,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,0,1.200364,1.200364,1.198497,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,1,1.194691,1.194691,1.193334,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,2,1.240269,1.240269,1.238909,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,3,1.364868,1.364868,1.360634,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,4,1.649652,1.649652,1.638084,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,5,2.211358,2.211358,2.199033,0.000000,0.0000
