dataset,batch_size,learning_rate,momentum,weight_decay,gamma,decay_period,gpu,epochs,seed,k,model,use_project_head,norm_type,save_feat,sampling_size,select_size,attack_epoch,interpolate,classifier,property,attack_feat,begin_range,end_range,target_num,defense,d_para,d_para2,out_para,defend_scope,defend_side,adaptive_noise,norm_threshold,sigma_low,sigma_high,sigma_alpha,curriculum,warmup_epochs,val_ratio,aligned,n_seeds,log_norms,out_csv,device,accuracy,auc,precision,recall,gnd_frac,pred_frac,used_time
adult,64,0.01,0.0,3e-05,0.97,1,0,20,4,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8371,0.8960,0.6700,0.6358,0.4965,0.4999,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,4,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8371,0.8960,0.6700,0.6358,0.4965,0.4782,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,4,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8371,0.8960,0.6700,0.6358,0.4965,0.4970,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,4,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8371,0.8960,0.6700,0.6358,0.4965,0.5110,6
adult,64,0.01,0.0,3e-05,0.97,1,0,20,4,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8371,0.8960,0.6700,0.6358,0.4965,0.4904,32
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,shuffle,0.2,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8387,0.8926,0.7020,0.5721,0.6635,0.6448,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,shuffle,0.2,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8387,0.8926,0.7020,0.5721,0.6635,0.6068,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,shuffle,0.2,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8387,0.8926,0.7020,0.5721,0.6635,0.6419,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,shuffle,0.2,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8387,0.8926,0.7020,0.5721,0.6635,0.6726,6
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,shuffle,0.2,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8387,0.8926,0.7020,0.5721,0.6635,0.6393,28
