dataset,batch_size,learning_rate,momentum,weight_decay,gamma,decay_period,gpu,epochs,seed,k,model,use_project_head,norm_type,save_feat,sampling_size,select_size,attack_epoch,interpolate,classifier,property,attack_feat,begin_range,end_range,target_num,aligned,use_MR,act_weight,use_LR,defense,d_para,d_para2,out_para,defend_scope,defend_side,adaptive_noise,norm_threshold,sigma_low,sigma_high,sigma_alpha,curriculum,warmup_epochs,val_ratio,n_seeds,log_norms,out_csv,device,accuracy,auc,precision,recall,gnd_frac,pred_frac,used_time
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8384,0.8898,0.7131,0.5486,0.6635,0.6331,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8384,0.8898,0.7131,0.5486,0.6635,0.6619,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8384,0.8898,0.7131,0.5486,0.6635,0.6345,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8384,0.8898,0.7131,0.5486,0.6635,0.6623,6
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,en-DT,sex,all,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8384,0.8898,0.7131,0.5486,0.6635,0.6570,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8384,0.8898,0.7131,0.5486,0.6635,0.6424,28
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,DT,sex,b_grad,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8394,0.8919,0.7211,0.5414,0.6635,0.6860,2
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,DT,sex,b_output,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8394,0.8919,0.7211,0.5414,0.6635,0.6747,2
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,DT,sex,a_grad,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8394,0.8919,0.7211,0.5414,0.6635,0.6914,2
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,DT,sex,a_output,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8394,0.8919,0.7211,0.5414,0.6635,0.6612,2
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8394,0.8919,0.7211,0.5414,0.6635,0.6759,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8394,0.8919,0.7211,0.5414,0.6635,0.6317,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,1,1,1.0,1,gauss_noise,0.0,1.0,0.05,victim_only,output,0,0.0,0.005,0.05,0.05,0,10,0.3,5,0,res_s1_active_adult.csv,cuda,0.8394,0.8919,0.7211,0.5414,0.6635,0.6802,7
